gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
1,0,1,0,0.13043478260869565,1,1,1,1,1,2,2,2,2,1,0,0,-0.2742121002990568,0.18042880382844928
1,1,1,1,0.34782608695652173,1,1,2,1,1,2,1,2,2,2,1,1,0.27973314929836673,0.6944827435274549
0,0,1,1,0.782608695652174,1,2,2,1,2,1,1,1,1,1,1,0,0.7269381182424661,1.675099759992413
1,0,0,0,-0.32608695652173914,1,1,2,2,2,2,2,2,1,2,1,1,0.1913963653094089,-0.07158645744424748
1,0,0,0,0.6956521739130435,0,0,1,1,1,2,1,2,1,1,1,1,-0.36438923395445133,0.4933286644927377
0,0,0,0,0.8478260869565217,1,1,2,1,2,1,2,2,2,0,0,0,0.18127444214400726,1.1605059855995445
1,0,0,0,-0.13043478260869565,1,1,1,1,1,2,1,2,2,1,1,2,-0.23464458247066944,-0.0336375374783884
1,0,1,1,0.5652173913043478,1,1,2,2,1,1,2,2,2,2,1,3,0.2033586381412468,0.9079071192524018
0,0,0,0,0.8695652173913043,1,2,0,0,0,0,0,0,0,0,0,1,-0.8474810213940649,0.0933986971016713
1,0,0,1,-0.4782608695652174,1,1,1,1,2,1,1,1,1,2,0,1,0.19783758914193697,-0.23870177051189456
1,0,0,0,0.9347826086956522,1,2,2,1,2,2,2,2,2,0,0,1,0.1573498964803312,1.264256377709204
1,0,0,0,0.6956521739130435,1,1,1,1,2,2,2,2,2,1,1,1,-0.3827927306188175,0.4561676113773809
0,1,0,1,0.7608695652173914,1,1,2,1,2,1,2,2,2,1,0,0,0.180354267310789,1.0562011686691615
1,1,0,1,0.06521739130434782,1,2,2,2,2,2,2,1,1,2,1,3,0.4177593742811135,0.4472968142457998
1,0,1,1,-0.6086956521739131,1,2,2,2,2,1,2,2,2,2,1,2,0.16655164481251433,-0.38476353051889783
0,0,1,1,-0.5652173913043478,1,1,2,1,2,2,1,2,2,2,1,2,0.21716126063952146,-0.345413958374368
0,0,1,0,-0.5652173913043478,1,1,0,0,0,0,0,0,0,2,0,1,-0.9256958822176213,-0.3932112139715055
1,0,0,1,0.9347826086956522,1,2,1,1,2,1,1,1,1,0,1,0,0.2558086036346907,1.3709831556985386
1,0,1,0,-0.06521739130434782,0,0,1,2,2,1,2,2,2,2,1,2,-0.7490223142397057,-0.17847372682905477
0,0,1,1,0.21739130434782608,1,1,2,1,2,1,2,1,1,0,1,3,0.5511847250977686,0.7013692834059191
1,0,1,1,-0.6086956521739131,1,1,0,0,0,0,0,0,0,2,0,2,-0.9376581550494595,-0.4022716827522815
1,0,1,1,-0.6086956521739131,1,1,0,0,0,0,0,0,0,2,1,2,-0.9385783298826778,-0.40228627287914265
1,0,0,0,0.5869565217391305,1,1,2,2,2,2,2,1,1,1,0,1,0.3386243386243387,1.0416985825691754
1,1,0,1,0.30434782608695654,1,2,2,2,2,1,1,1,1,1,1,3,0.6818495514147688,0.9150271011606443
1,0,1,0,-0.6086956521739131,1,2,0,0,0,0,0,0,0,2,0,2,-0.829997699562917,-0.40056463790952657
0,0,1,1,0.0,1,2,1,2,1,1,2,2,1,1,0,0,0.007361398665746597,0.16529884227343353
0,0,1,1,-0.5869565217391305,1,2,2,2,1,2,2,2,2,2,1,3,0.21164021164021166,-0.3540950838567541
0,0,1,1,0.8478260869565217,1,1,2,2,1,1,2,2,2,1,0,0,0.1674718196457326,1.1856885445618948
0,0,0,0,0.8260869565217391,1,2,2,2,1,2,2,2,1,2,1,1,0.35058661145617664,1.4517103276212986
1,0,0,0,-0.21739130434782608,1,2,0,0,0,0,0,0,0,0,1,1,-0.8391994478951001,-0.2715003756957666
0,0,0,0,0.8043478260869565,0,0,1,2,1,1,2,1,1,0,1,0,-0.2530480791350357,0.6741441066830076
1,0,0,1,-0.5434782608695652,0,0,1,1,2,2,2,2,2,2,1,3,-0.7628249367379802,-0.37015881353088365
1,0,0,0,-0.43478260869565216,1,1,0,0,0,0,0,0,0,0,0,2,-0.9339774557165862,-0.3465082178889545
0,1,0,1,0.5217391304347826,1,2,2,2,1,1,2,1,1,2,1,3,0.6137566137566137,1.1927063955821096
1,0,1,1,-0.13043478260869565,1,1,0,0,0,0,0,0,0,2,1,2,-0.9385783298826778,-0.270770869352709
1,0,0,1,0.45652173913043476,1,2,2,1,1,2,1,1,1,1,0,3,0.700253048079135,1.2292400732424367
0,0,1,1,-0.5869565217391305,1,1,2,2,1,2,2,2,2,2,0,3,0.08189556015642978,-0.3636953873313928
1,0,0,1,0.6521739130434783,1,1,0,0,0,0,0,0,0,1,0,2,-0.9229353577179664,-0.03826260769337389
0,0,0,0,0.7391304347826086,1,2,1,1,1,1,2,1,1,0,0,0,0.239245456636761,1.177970367452345
1,0,0,1,-0.08695652173913043,1,1,1,1,1,2,1,2,1,2,1,2,0.010121923165401375,0.1282691002998271
1,0,1,1,-0.32608695652173914,1,2,2,2,2,1,2,2,2,2,1,3,0.18311479181044404,-0.0951641024518708
0,0,0,1,0.782608695652174,1,2,1,1,1,1,2,2,2,1,0,0,-0.06349206349206354,0.8495612019346508
0,1,0,1,0.8695652173913043,0,0,1,1,1,2,2,1,1,0,0,0,-0.256728778467909,0.7454168763997402
1,0,0,0,-0.17391304347826086,1,1,2,2,1,2,2,2,2,2,1,1,0.06533241315850007,0.04889881017515448
0,0,0,0,0.30434782608695654,1,2,2,1,2,1,1,2,2,1,1,0,0.38187255578559925,0.7632606015509305
0,1,0,1,0.9130434782608695,1,2,2,1,1,1,1,2,2,1,1,3,0.39567517828387394,1.5136016457663097
0,0,1,0,-0.21739130434782608,0,0,1,2,2,2,2,2,2,2,1,0,-0.8309178743961353,-0.24278700603301742
1,0,1,1,0.2391304347826087,1,1,0,0,0,0,0,0,0,0,0,0,-0.9358178053830228,-0.16570736582554585
1,0,1,1,-0.43478260869565216,1,2,2,2,2,2,2,2,1,2,1,3,0.2355647573038877,-0.17357144420370735
0,0,1,1,0.6304347826086957,1,2,2,2,1,1,2,1,1,1,1,1,0.6027145157579941,1.3479891157653614
1,0,1,1,-0.6086956521739131,1,1,0,0,0,0,0,0,0,2,0,1,-0.9312169312169313,-0.4021695518642534
0,0,0,0,0.391304347826087,1,2,2,1,1,1,1,1,1,1,1,1,0.7904301817345296,1.1437711100898023
1,0,0,1,0.6304347826086957,1,2,1,1,2,1,1,1,1,0,1,3,0.2539682539682539,1.0266415716484654
0,0,1,1,0.2391304347826087,1,2,2,2,1,1,2,1,1,2,1,2,0.5916724177593744,0.7907921709379261
1,0,1,1,0.2608695652173913,1,2,1,2,2,1,1,2,1,1,1,3,-0.03496664366229594,0.4315540673626157
0,0,0,1,0.8260869565217391,1,1,2,1,1,2,2,1,1,1,1,0,0.5594662985967335,1.5567738311484616
0,1,1,1,0.10869565217391304,1,1,2,2,1,1,2,1,1,1,1,3,0.5401426270991487,0.5675632299622845
0,0,1,1,-0.5652173913043478,1,1,0,0,0,0,0,0,0,2,1,2,-0.9459397285484242,-0.392496297755309
1,1,0,1,0.6739130434782609,1,2,2,1,1,1,1,1,1,0,1,1,0.8382792730618818,1.6130187701982066
1,1,1,1,-0.45652173913043476,1,1,2,2,2,1,2,1,1,2,1,3,0.3975155279503105,-0.19497516030901885
0,0,0,0,-0.30434782608695654,1,2,2,2,2,2,2,2,2,2,1,1,0.08097538532321151,-0.0848780630147579
0,0,1,1,0.8478260869565217,1,2,2,1,1,1,2,2,1,0,1,1,0.5815504945939728,1.6782220471407
0,1,0,1,0.9130434782608695,1,2,0,0,0,0,0,0,0,0,0,0,-0.8290775247296986,0.11424798838625903
1,0,1,1,0.6304347826086957,1,2,2,1,2,2,2,2,2,2,1,1,0.1711525189786059,0.912969893273222
0,1,1,1,-0.5869565217391305,1,1,0,0,0,0,0,0,0,2,0,3,-0.9440993788819876,-0.39712136797029446
1,0,0,0,-0.32608695652173914,1,1,2,2,1,2,1,2,1,2,1,0,0.3524269611226134,-0.05537682650150645
1,0,0,1,0.9130434782608695,1,1,0,0,0,0,0,0,0,0,1,1,-0.912813434552565,0.027743126226482548
0,0,1,1,-0.32608695652173914,1,2,2,2,1,2,2,1,1,2,1,3,0.5530250747642051,0.005084659211111827
1,0,1,1,-0.5,0,0,1,1,1,2,1,2,1,2,0,0,-0.35978835978835977,-0.31821796190517876
0,0,0,0,-0.30434782608695654,1,1,1,2,1,1,1,2,1,2,1,2,-0.01840349666436623,-0.09533918397420461
0,0,0,0,0.6086956521739131,1,1,2,2,1,1,2,1,1,1,1,0,0.49781458477110646,1.2255341810197038
1,0,1,1,0.8043478260869565,1,1,1,1,1,1,2,2,2,0,1,1,-0.17207269381182427,0.7643256808117945
0,1,0,1,0.8695652173913043,1,2,2,2,1,2,2,1,2,2,1,3,0.35794801012192323,1.3846103341868554
1,0,0,1,0.8478260869565217,1,1,1,1,2,2,1,2,2,1,0,1,-0.26869105129974696,0.7151131829091254
0,1,1,0,0.5869565217391305,1,1,2,1,2,2,2,1,1,1,0,0,0.44720496894409933,1.1281596743483684
0,1,1,1,0.13043478260869565,1,2,2,2,2,1,2,1,1,2,1,3,0.5254198297676558,0.5829266335470786
1,0,0,0,0.30434782608695654,1,1,1,2,2,2,2,1,2,2,0,3,-0.2640901771336554,0.32132565892660436
0,0,0,1,0.043478260869565216,1,1,1,2,2,1,1,2,1,2,1,0,-0.07545433632390144,0.1814063423281465
1,0,0,0,0.08695652173913043,1,1,1,1,1,1,2,2,2,1,1,2,-0.22176213480561302,0.16261425893098141
0,0,1,1,-0.6086956521739131,1,1,2,2,2,2,2,2,2,2,1,3,-0.02116402116402127,-0.3877399163985731
0,0,1,1,0.32608695652173914,1,1,2,2,2,1,1,1,1,0,0,1,0.5447435012652403,0.8696372164955974
1,0,0,0,0.6086956521739131,1,1,1,1,1,2,2,2,2,1,0,3,-0.31377961812744415,0.48289672378701326
0,0,1,0,0.8913043478260869,1,2,1,1,1,2,1,2,2,1,0,1,-0.10213940648723252,0.9201628258157704
0,0,1,1,-0.6086956521739131,1,1,0,0,0,0,0,0,0,2,0,0,-0.9192546583850932,-0.4019798802150584
0,0,0,0,0.5652173913043478,1,1,1,2,2,1,1,2,2,0,1,0,-0.280653324131585,0.5024183135272361
0,1,0,1,0.0,1,2,2,2,2,2,2,1,1,2,1,3,0.44076374511157124,0.36636538054698387
1,0,1,1,0.08695652173913043,1,2,1,1,1,2,2,2,2,2,1,2,-0.17667356797791584,0.1855061679761305
0,1,0,1,-0.5434782608695652,1,2,2,2,2,2,2,2,2,2,0,3,0.08189556015642978,-0.31789697911423337
0,0,1,1,0.8913043478260869,0,0,1,2,2,2,1,2,1,0,1,2,-0.5603864734299517,0.40899773123527305
0,0,1,1,0.13043478260869565,1,2,0,0,0,0,0,0,0,2,1,3,-0.8263170002300437,-0.1449893856827085
1,0,1,1,-0.5869565217391305,1,1,1,2,2,2,2,2,2,2,1,2,-0.45364619277662754,-0.3771620744242371
0,1,0,1,-0.41304347826086957,1,2,2,2,2,1,2,2,1,2,1,3,0.3551874856222682,-0.14118136257194755
0,0,0,0,-0.6086956521739131,1,1,2,2,1,2,2,2,2,2,0,0,0.07545433632390144,-0.386207953078152
0,0,1,1,0.043478260869565216,1,1,0,0,0,0,0,0,0,0,0,1,-0.9220151828847482,-0.2302394969324258
0,1,1,1,0.021739130434782608,1,2,2,1,2,2,2,2,1,2,1,0,0.3680699332873246,0.34949919389549083
0,1,0,0,0.6739130434782609,1,2,2,1,1,2,2,2,1,2,1,3,0.41867954911433175,1.2770519189664353
1,0,0,0,0.9347826086956522,1,2,1,1,2,1,1,2,2,0,0,1,-0.06717276282493684,0.980653491782111
0,0,1,1,-0.5434782608695652,1,1,0,0,0,0,0,0,0,2,1,0,-0.9164941338854382,-0.38353795986256095
0,0,0,0,-0.5434782608695652,1,1,2,2,2,2,2,2,2,2,1,2,-0.01748332183114797,-0.3248418795001422
1,0,1,1,-0.08695652173913043,1,1,2,2,1,1,2,1,1,2,1,3,0.5337014032666206,0.28331837845330066
0,0,0,1,0.8913043478260869,1,2,1,1,2,2,1,1,1,0,1,0,0.11870255348516223,1.1356006390475564
0,0,1,1,-0.6086956521739131,1,1,0,0,0,0,0,0,0,2,1,2,-0.9210950080515298,-0.4020090604687807
1,0,1,1,-0.21739130434782608,1,1,0,0,0,0,0,0,0,2,0,2,-0.9312169312169313,-0.30072439979865623
1,0,1,1,-0.6086956521739131,1,1,0,0,0,0,0,0,0,2,0,2,-0.9385783298826778,-0.40228627287914265
1,0,0,0,-0.3695652173913043,1,1,0,0,0,0,0,0,0,0,0,1,-0.9238555325511848,-0.3424667527484151
0,0,1,1,0.9347826086956522,1,1,0,0,0,0,0,0,0,0,0,1,-0.942259029215551,0.004865807308194531
1,0,1,1,-0.5869565217391305,1,1,0,0,0,0,0,0,0,2,0,2,-0.9238555325511848,-0.3959541578214022
0,0,0,0,0.10869565217391304,1,1,2,2,1,1,2,1,2,2,1,3,0.3561076604554865,0.4942040721044069
0,0,1,1,0.17391304347826086,0,0,1,1,1,2,1,2,2,0,1,2,-0.5511847250977686,-0.0021228634582977964
0,1,0,0,0.6304347826086957,1,2,2,1,1,2,1,2,2,1,1,1,0.3561076604554865,1.0877304328161133
0,0,1,1,-0.6086956521739131,1,1,1,2,2,2,2,2,2,2,1,2,-0.4591672417759375,-0.3946848167844819
1,1,1,1,-0.6086956521739131,1,1,2,2,2,2,2,2,2,2,1,3,0.013802622498274672,-0.3871854915778492
0,0,1,1,-0.6086956521739131,1,2,1,2,2,2,2,2,2,2,1,3,-0.36899010812054284,-0.3932549843520889
0,0,0,1,0.9347826086956522,1,2,1,1,1,1,1,2,2,0,0,2,-0.04324821716126054,0.9952144383895416
1,1,0,0,-0.3695652173913043,0,0,1,2,2,2,1,2,2,2,1,2,-0.7582240625718887,-0.3041238993573048
1,0,1,1,-0.5869565217391305,1,1,0,0,0,0,0,0,0,2,0,2,-0.9385783298826778,-0.39877005230560475
1,0,0,1,0.391304347826087,1,1,0,0,0,0,0,0,0,0,0,1,-0.9358178053830228,-0.13906579417708037
0,0,0,0,-0.5,1,1,1,2,2,2,2,2,2,2,1,1,-0.47665056360708535,-0.331874320647218
1,0,1,1,0.6739130434782609,0,0,1,1,2,1,2,1,1,0,0,3,-0.3110190936277893,0.5366029807629177
1,1,1,1,-0.5869565217391305,1,1,2,2,1,2,2,1,2,2,1,1,0.2447665056360708,-0.3602083470115772
0,0,0,1,0.4782608695652174,1,1,1,1,1,1,1,1,1,0,1,0,0.24568668046928907,0.8488462857184543
1,0,0,0,0.9347826086956522,1,2,2,1,1,1,2,1,1,0,0,0,0.7186565447435013,1.8935431393575965
0,0,0,1,0.9347826086956522,1,2,1,1,1,1,2,1,1,0,1,3,0.2714515757994019,1.367087591826611
1,0,0,0,0.5,1,2,0,0,0,0,0,0,0,0,0,2,-0.8732459167241776,-0.04173505788632834
1,0,0,1,0.9130434782608695,1,2,1,1,1,1,1,1,1,0,0,0,0.4177593742811135,1.4905346551988268
1,0,0,1,-0.021739130434782608,1,2,0,0,0,0,0,0,0,1,0,2,-0.8272371750632621,-0.21182675683365063
0,1,0,1,0.9130434782608695,0,0,1,1,1,1,1,2,2,0,0,0,-0.4444444444444444,0.5705542059688209
0,0,0,0,0.8478260869565217,1,1,2,1,2,2,1,1,1,0,1,3,0.5346215780998389,1.5377628958483793
0,0,1,1,-0.6086956521739131,1,1,2,2,2,2,2,2,2,2,1,3,-0.002760524499655039,-0.38744811386135003
1,0,1,1,-0.391304347826087,1,2,2,2,2,1,2,1,2,2,1,3,0.34414538762364855,-0.11900436974299491
0,0,0,0,-0.5652173913043478,1,1,1,2,1,1,2,2,2,2,1,2,-0.2640901771336554,-0.3589098257209346
1,0,0,1,0.6956521739130435,1,2,2,2,2,1,1,1,1,1,1,1,0.6036346905912123,1.4940946461529483
0,0,0,1,-0.5,1,2,2,2,2,2,2,2,2,2,1,3,0.09201748332183116,-0.28016691105129155
1,0,0,1,0.3695652173913043,1,2,1,1,2,2,2,2,2,2,0,3,-0.32022084195997236,0.3097994587062935
1,0,1,0,0.45652173913043476,1,1,2,2,2,2,2,2,2,0,0,0,-0.002760524499655039,0.6231370231764164
0,0,1,1,0.8695652173913043,1,1,2,2,1,1,1,1,1,1,1,1,0.617437313089487,1.7110936029588775
0,0,0,0,0.1956521739130435,1,2,1,1,2,1,1,1,1,0,1,1,0.27421210029905696,0.5540965428694402
1,0,1,1,-0.5652173913043478,1,2,2,2,2,2,2,2,2,2,1,3,0.06901311249137336,-0.3466103487769826
1,1,0,1,0.8478260869565217,1,2,2,2,1,2,2,2,1,2,1,1,0.3515067862893949,1.380072804733037
0,0,1,0,-0.08695652173913043,1,1,0,0,0,0,0,0,0,2,0,2,-0.9146537842190017,-0.27368889472493957
1,1,0,1,-0.2391304347826087,1,2,2,2,2,2,1,1,1,2,0,1,0.5383022774327122,0.12784598662085364
0,0,1,1,-0.4782608695652174,1,2,2,2,2,2,2,2,1,2,1,2,0.2705314009661836,-0.23215080355123688
1,0,1,1,0.782608695652174,0,0,1,1,2,1,1,1,1,0,0,0,-0.19415688980906368,0.7362105063503526
1,0,1,1,-0.3695652173913043,1,1,0,0,0,0,0,0,0,1,0,2,-0.942259029215551,-0.3412265919652171
0,0,1,1,-0.6086956521739131,0,0,1,2,2,2,2,2,2,2,0,1,-0.8410397975615368,-0.40073971943186043
0,0,1,1,-0.2391304347826087,1,1,0,0,0,0,0,0,0,2,0,3,-0.9477800782148609,-0.30619569737158864
1,0,0,1,0.7608695652173914,1,2,1,1,2,1,1,1,1,0,1,0,0.2668507016333103,1.192385412791164
0,0,1,1,-0.06521739130434782,1,2,2,1,1,2,2,2,2,2,1,0,0.2972164711295147,0.23654243173644393
1,0,1,0,-0.5434782608695652,1,2,2,2,1,2,2,1,2,2,0,2,0.3515067862893949,-0.30127882461938
0,0,0,1,0.9130434782608695,1,1,1,1,2,2,1,2,2,0,0,1,-0.2944559466298597,0.6945119237811771
